track_name,artist(s)_name,released_year,released_month,released_day,streams,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%,album_art_url
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2021,7,9,2665343922,59,48,76,4,10,5,
El Merengue,"Marshmello, Manuel Turizo",2023,3,3,223633238,78,70,68,3,11,4,https://i.scdn.co/image/ab67616d0000b273f404676577626a87d92cf33f
Someone You Loved,Lewis Capaldi,2018,11,8,2887241814,50,45,41,75,11,3,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2022,5,6,1440757818,91,43,71,9,9,8,
Makeba,Jain,2015,6,22,165484133,82,40,66,39,25,7,https://i.scdn.co/image/ab67616d0000b27364ba66f8a81c52364e55db50
MONTAGEM - FR PUNK,"Ayparia, unxbected",2012,6,20,58054811,63,84,82,70,9,7,
Fast Car,Luke Combs,2023,3,24,157058870,71,67,60,19,12,3,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1
What It Is (Solo Version),Doechii,2023,3,17,95131998,74,76,76,6,10,9,https://i.scdn.co/image/ab67616d0000b2732ee85751f6f503fa9a533eba
Coco Chanel,"Bad Bunny, Eladio Carrion",2023,3,17,250305248,68,14,76,4,10,4,
Don   t Bl,Taylor Swift,2017,11,8,685032533,62,19,53,11,6,4,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b
Still With You,Jung Kook,2020,6,5,38411956,53,34,47,9,83,4,https://i.scdn.co/image/ab67616d0000b273a7f42c375578df426b37638d
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2023,5,12,144565150,83,69,44,15,10,33,
Say Yes To Heaven,Lana Del Rey,2023,3,17,127567540,49,17,35,71,11,3,https://i.scdn.co/image/ab67616d0000b273aa27708d07f49c82ff0d0dae
Snooze,SZA,2022,12,9,399686758,56,39,55,14,11,13,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
Summertime Sadness,Lana Del Rey,2011,1,1,983637508,56,24,66,7,12,3,https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7
Take Two,BTS,2023,6,9,118482347,62,57,59,3,38,3,https://i.scdn.co/image/ab67616d0000b2738a701e76e8845928f6cd81c8
Lover,Taylor Swift,2012,1,1,882831184,43,50,55,50,15,10,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",2022,12,2,286400165,68,17,71,15,11,5,
Chemical,Post Malone,2023,4,14,172825906,50,37,90,0,12,5,https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c
Mockingbird,Eminem,2004,1,1,1241559043,62,24,67,21,13,28,https://i.scdn.co/image/ab67616d0000b273726d48d93d02e1271774f023
New Jeans,NewJeans,2023,7,7,29562220,81,53,72,51,12,5,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af
Primera Cita,Carin Leon,2022,4,20,77309611,54,50,40,61,10,6,https://i.scdn.co/image/ab67616d0000b273dc0bb68a08c069cf8467f1bd
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",2017,11,10,1605224506,80,92,80,4,10,3,
